model,mae_with_era5,mae_without_era5,mae_delta_with_minus_without,rmse_with_era5,rmse_without_era5,rmse_delta_with_minus_without,smape_with_era5,smape_without_era5,smape_delta_with_minus_without,r2_with_era5,r2_without_era5,r2_delta_with_minus_without,direction_accuracy_prev_hour_with_era5,direction_accuracy_prev_hour_without_era5,direction_accuracy_prev_hour_delta_with_minus_without,direction_accuracy_lag24_with_era5,direction_accuracy_lag24_without_era5,direction_accuracy_lag24_delta_with_minus_without,negative_price_precision_with_era5,negative_price_precision_without_era5,negative_price_precision_delta_with_minus_without,negative_price_recall_with_era5,negative_price_recall_without_era5,negative_price_recall_delta_with_minus_without,top10_price_mae_with_era5,top10_price_mae_without_era5,top10_price_mae_delta_with_minus_without
catboost,20.943223056440537,19.17537029935121,1.7678527570893259,28.765793216119373,26.13577580468371,2.630017411435663,0.3257947072453531,0.3253920416299619,0.0004026656153912067,0.6344902010734514,0.6982709619578531,-0.06378076088440165,0.6158675799086758,0.6304794520547945,-0.014611872146118698,0.7337899543378995,0.7552511415525114,-0.021461187214611877,0.5953757225433526,0.5775862068965517,0.01778951564680087,0.6866666666666666,0.67,0.016666666666666607,88.21657812351944,98.84394636037877,-10.627368236859326
elastic_net,20.10266524550271,20.45275189250489,-0.35008664700217906,27.156223951730304,27.715839098304027,-0.5596151465737229,0.3826148813305657,0.3872472319333152,-0.004632350602749469,0.6742495088801462,0.660685531229089,0.013563977651057213,0.6648401826484018,0.6631278538812785,0.00171232876712335,0.7538812785388128,0.7494292237442922,0.004452054794520599,0.4399141630901287,0.438034188034188,0.0018799750559407302,0.6833333333333333,0.6833333333333333,0.0,103.27668276012312,100.84841288152188,2.4282698786012418
lightgbm,19.70033476718451,20.49376865030337,-0.7934338831188583,27.15191032287786,27.80134156265742,-0.6494312397795596,0.3187918301637118,0.3242165887945633,-0.005424758630851456,0.6743529882974522,0.65858875371127,0.015764234586182146,0.642351598173516,0.6331050228310502,0.009246575342465757,0.7488584474885844,0.7404109589041096,0.00844748858447486,0.6355685131195336,0.6246498599439776,0.010918653175555959,0.7266666666666667,0.7433333333333333,-0.016666666666666607,85.54803097064159,88.8232006178216,-3.2751696471800074
lstm,20.26766320320352,22.37569476718772,-2.108031563984202,28.44490602113411,30.69476252790475,-2.249856506770641,0.3271217409036037,0.3394639209297839,-0.012342180026180205,0.6425993627406343,0.5838260700111986,0.05877329272943577,0.6172374429223745,0.5909817351598173,0.026255707762557146,0.7525114155251141,0.7376712328767123,0.014840182648401812,0.7126436781609196,0.8507462686567164,-0.13810259049579687,0.2066666666666666,0.19,0.016666666666666607,130.5617237955729,123.1939951171875,7.367728678385404
naive_lag_24h,27.212369863013706,27.212369863013706,0.0,40.30067524276524,40.30067524276524,0.0,0.4461429187454123,0.4461429187454123,0.0,0.2825841592992554,0.2825841592992554,0.0,0.6164383561643836,0.6164383561643836,0.0,0.0006849315068493,0.0006849315068493,0.0,0.308411214953271,0.308411214953271,0.0,0.33,0.33,0.0,134.78466666666665,134.78466666666665,0.0
rnn,23.135748625238193,21.734207567737528,1.4015410575006655,31.00234318940858,30.045776179071833,0.9565670103367481,0.3392090215102052,0.3201815625975117,0.01902745891269353,0.5754436361796531,0.6012385454598279,-0.025794909280174805,0.5787671232876712,0.5692922374429223,0.00947488584474887,0.7286529680365297,0.7429223744292237,-0.014269406392694028,1.0,0.7710280373831776,0.2289719626168224,0.0266666666666666,0.55,-0.5233333333333334,114.60136307779948,114.5438740641276,0.057489013671869316
seasonal_naive_lag_168h,33.62946004566209,33.62946004566209,0.0,48.212545121462334,48.212545121462334,0.0,0.5051499073827795,0.5051499073827795,0.0,-0.0267540691593817,-0.0267540691593817,0.0,0.6045662100456621,0.6045662100456621,0.0,0.6417808219178082,0.6417808219178082,0.0,0.1649484536082474,0.1649484536082474,0.0,0.16,0.16,0.0,143.84133333333335,143.84133333333335,0.0
stacker_gbm_oof,21.979965501935233,21.59382690170864,0.3861386002265945,29.021295892914125,28.834917686387755,0.1863782065263706,0.3275503403233211,0.3303302222049121,-0.0027798818815910065,0.6279683242991229,0.6327314435199337,-0.004763119220810852,0.5896118721461188,0.6004566210045662,-0.01084474885844744,0.723744292237443,0.7318493150684932,-0.00810502283105019,0.6036036036036037,0.5830985915492958,0.02050501205430788,0.67,0.69,-0.019999999999999907,83.85123268553461,85.67800979889886,-1.826777113364244
stacker_non_negative_weights_oof,21.822438551760044,21.792142713945328,0.03029583781471601,28.73677919018832,28.64747498949263,0.08930420069568967,0.3573988463039237,0.3541938131427382,0.003205033161185533,0.6352271571164749,0.6374908158059807,-0.002263658689505732,0.6181506849315068,0.6114155251141552,0.006735159817351621,0.7366438356164383,0.7373287671232877,-0.00068493150684934,0.4989561586638831,0.5065502183406113,-0.007594059676728215,0.7966666666666666,0.7733333333333333,0.023333333333333317,85.10423407032405,83.76318176248421,1.3410523078398455
xgboost,19.179205183836448,19.311971535403792,-0.1327663515673443,26.489691452263727,26.382508243772996,0.10718320849073137,0.3170745775791138,0.3162020126243003,0.0008725649548134706,0.6900439515754935,0.692547179809406,-0.00250322823391258,0.6304794520547945,0.6365296803652968,-0.006050228310502281,0.7449771689497717,0.7398401826484018,0.005136986301369939,0.5958005249343832,0.6139817629179332,-0.01818123798354998,0.7566666666666667,0.6733333333333333,0.08333333333333337,97.20374475097655,94.3439903157552,2.8597544352213475
