month,abs_err_with,abs_err_without
1,21.418965549704303,21.188751538226484
2,15.727284674107144,16.264436226961465
3,19.614750030510752,17.500445063712935
4,14.119355682083334,13.098200420190672
5,16.82854192688172,15.579656523808755
6,14.213146713866667,15.841880639040218
7,17.105152603091398,17.4270353880799
8,19.992059248696236,21.43434612168421
9,28.256681489444443,30.33823650901056
10,17.028962520846775,17.52636547512965
11,17.866800934986113,18.410479195240505
12,27.5717731322043,25.244756083029426
