feature,mean_abs_shap
residual_load_forecast,20.381466
price_lag_24h,8.830294
price_rolling_336h_mean,7.2619243
price_rolling_168h_mean,7.1906705
price_rolling_336h_std,7.1764197
renewable_share_forecast,3.7559109
price_rolling_168h_std,3.5475264
load_forecast,3.326866
price_lag_336h,3.1212142
wind_share_forecast,3.082673
price_lag_168h,2.97256
price_rolling_336h_max,2.657435
price_rolling_24h_max,2.2831542
price_lag_48h,1.9380729
dayofyear,1.8255024
wind_total_forecast_day_ahead,1.6858662
price_lag_72h,1.670259
price_rolling_168h_max,1.4146447
weekday,1.2919797
temperature_2m_max,1.2802737
price_rolling_168h_min,1.1736073
price_rolling_336h_min,1.0346104
month,0.97824633
surface_pressure_min,0.9632624
price_rolling_24h_min,0.91504663
price_rolling_24h_mean,0.7799034
sin_dayofyear,0.6768563
pvgis_cologne_wind_speed_10m,0.67626804
v_wind_100m_max,0.6282393
cos_dayofyear,0.62739474
price_rolling_24h_std,0.62203574
surface_pressure_max,0.62145555
v_wind_10m_min,0.6171855
wind_offshore_forecast_day_ahead,0.6055801
dewpoint_2m_max,0.5993961
medium_cloud_cover_std,0.580834
total_sky_direct_solar_radiation_at_surface_max,0.57594347
u_wind_100m_max,0.5540429
v_wind_100m_mean,0.51992255
solar_share_forecast,0.5078905
wind_solar_forecast_day_ahead,0.5003727
pvgis_cologne_beam_irradiance,0.4872558
u_wind_10m_min,0.47526148
mean_sea_level_pressure_std,0.46794036
mean_sea_level_pressure_max,0.4663069
pvgis_beam_irradiance_std,0.45531714
pvgis_hamburg_wind_speed_10m,0.4453101
pvgis_berlin_wind_speed_10m,0.437519
v_wind_10m_mean,0.43162245
u_wind_10m_max,0.43033108
pvgis_munich_temperature_2m,0.42147303
v_wind_10m_std,0.38474104
hour,0.38433102
pvgis_frankfurt_beam_irradiance,0.3805923
mean_sea_level_pressure_mean,0.3782119
u_wind_10m_std,0.32678878
sin_hour,0.32615563
air_density_approx_mean,0.31199425
u_wind_100m_min,0.3003989
dewpoint_2m_min,0.29142863
dewpoint_2m_std,0.28514415
wind_gust_10m_min,0.27990517
temperature_2m_std,0.26863894
wind_gust_10m_std,0.25332478
high_cloud_cover_std,0.2525478
solar_forecast_day_ahead,0.24611308
total_precipitation_mean,0.23446845
u_wind_100m_mean,0.22428177
pvgis_frankfurt_wind_speed_10m,0.22373448
mean_sea_level_pressure_min,0.20922595
pvgis_berlin_temperature_2m,0.20571983
surface_pressure_mean,0.19806361
surface_pressure_std,0.19311102
renewable_forecast_day_ahead,0.19300395
pvgis_hamburg_temperature_2m,0.18731801
low_cloud_cover_mean,0.186001
medium_cloud_cover_mean,0.174844
total_sky_direct_solar_radiation_at_surface_std,0.17285937
total_cloud_cover_min,0.16374938
high_cloud_cover_mean,0.15940736
surface_solar_radiation_downwards_min,0.15648344
pvgis_cologne_temperature_2m,0.15550087
pvgis_sun_height_std,0.15005502
pvgis_temperature_2m_max,0.14763923
wind_onshore_forecast_day_ahead,0.14344168
total_cloud_cover_mean,0.14109269
pvgis_temperature_2m_std,0.13930383
u_wind_100m_std,0.13816753
wind_speed_100m_from_mean_uv,0.13209808
wind_gust_10m_mean,0.12883523
pvgis_wind_speed_10m_min,0.12616959
pvgis_frankfurt_temperature_2m,0.12359276
wind_gust_10m_max,0.122709684
v_wind_100m_min,0.117349245
cos_hour,0.116048545
v_wind_100m_std,0.1140261
pvgis_wind_speed_10m_std,0.1092217
pvgis_munich_diffuse_irradiance,0.10867934
is_weekend,0.108235314
total_sky_direct_solar_radiation_at_surface_min,0.10773506
temperature_2m_mean,0.10533904
total_cloud_cover_std,0.10406182
v_wind_10m_max,0.10106893
low_cloud_cover_std,0.10005882
pvgis_hamburg_diffuse_irradiance,0.09806276
total_precipitation_max,0.09224059
pvgis_diffuse_irradiance_std,0.09132777
pvgis_berlin_sun_height,0.09063837
u_wind_10m_mean,0.08313075
temperature_2m_min,0.08242921
surface_solar_radiation_downwards_mean,0.080914505
surface_solar_radiation_downwards_max,0.0799765
pvgis_berlin_diffuse_irradiance,0.079035364
pvgis_munich_beam_irradiance,0.07582391
total_cloud_cover_max,0.07302853
total_sky_direct_solar_radiation_at_surface_mean,0.06820542
is_summer_time,0.06708635
pvgis_munich_sun_height,0.06302886
pvgis_wind_speed_10m_max,0.059103377
pvgis_temperature_2m_mean,0.05840849
pvgis_wind_speed_10m_mean,0.055229697
surface_solar_radiation_downwards_std,0.054898914
pvgis_berlin_beam_irradiance,0.050300524
wind_speed_10m_from_mean_uv,0.05004458
pvgis_temperature_2m_min,0.049482286
pvgis_hamburg_beam_irradiance,0.04903232
low_cloud_cover_min,0.047167785
dewpoint_2m_mean,0.046897627
total_precipitation_std,0.046269823
pvgis_munich_wind_speed_10m,0.042351253
pvgis_diffuse_irradiance_min,0.03618686
pvgis_beam_irradiance_min,0.027705327
high_cloud_cover_max,0.02511456
pvgis_diffuse_irradiance_max,0.022575196
pvgis_frankfurt_diffuse_irradiance,0.018077804
low_cloud_cover_max,0.012865099
high_cloud_cover_min,0.011180294
pvgis_beam_irradiance_mean,0.011004681
total_precipitation_min,0.010640561
pvgis_sun_height_max,0.00887601
pvgis_cologne_diffuse_irradiance,0.004780388
pvgis_diffuse_irradiance_mean,0.0047254455
medium_cloud_cover_min,0.0037296114
pvgis_hamburg_reflected_irradiance,0.0
pvgis_hamburg_sun_height,0.0
pvgis_frankfurt_sun_height,0.0
medium_cloud_cover_max,0.0
pvgis_frankfurt_reflected_irradiance,0.0
pvgis_hamburg_interpolated_flag,0.0
pvgis_munich_reflected_irradiance,0.0
pvgis_munich_interpolated_flag,0.0
pvgis_beam_irradiance_max,0.0
pvgis_cologne_interpolated_flag,0.0
pvgis_berlin_reflected_irradiance,0.0
pvgis_reflected_irradiance_mean,0.0
pvgis_interpolated_flag_std,0.0
pvgis_reflected_irradiance_min,0.0
pvgis_reflected_irradiance_max,0.0
pvgis_reflected_irradiance_std,0.0
pvgis_sun_height_mean,0.0
pvgis_sun_height_min,0.0
pvgis_cologne_sun_height,0.0
pvgis_cologne_reflected_irradiance,0.0
pvgis_berlin_interpolated_flag,0.0
pvgis_interpolated_flag_mean,0.0
pvgis_interpolated_flag_min,0.0
pvgis_interpolated_flag_max,0.0
pvgis_frankfurt_interpolated_flag,0.0
